h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
6,7,-11.788730579169016,5.091424034164771,-33.15241339125221,1254747398767746.5,6.599514987673807e+23,8.578501142440561e-35,7.979202968265073e-18,3
6,8,-16.770035733011447,2.3051963510722246,-24.242192760282727,11590013.621222517,2484627726196529.5,8.051350613902425e-32,3.966089901219581e-18,4
6,9,-15.377637425473385,-3.0683630956045596,-18.98169442112979,146667906.05964217,1.5279552556948477e+17,5.849402553611044e-20,2.834722515290175e-19,4
7,0,-8.98538736503916,6.333422156342518,-18.67554008222233,8.855684186696285e+16,1.146261042937318e+27,4.0356617135782316e-20,3.547152870094325e-19,4
7,1,-35.526585304502696,18.7409660454364,-33.06720771277605,5.295891957589696e-10,0.9685766790037263,6.587307370116001e-35,7.708913643603254e-18,4
7,2,-18.53070214181603,0.48632068348243634,-18.660347364811457,27775900.6369566,2.4780608855131936e+17,3.239225700571027e-20,4.704397041011101e-19,5
7,3,-16.839187515201452,5.44017714577566,-19.050557788658697,882500.3144182955,439591879211788.56,6.303621037775584e-20,1.2412704826123277e-19,4
7,4,-19.314151850448617,-1.0075394217883902,-17.575803322236077,13085619.840064162,1.1450799369745492e+16,1.347285978982031e-18,3.1631106386457122e-18,3
7,5,-37.056311231667834,20.075703397591656,-18.925296569478046,5.662755745221071e-11,0.07028622456105688,3.3876023629585397e-20,4.745081879911436e-19,3
7,6,-23.102754189357327,11.46877789946745,-17.82662535933352,3540.5247106573925,6093437452400.834,4.312212307601458e-21,1.6035550980777092e-18,4
7,7,-10.2815109845609,0.5656312566670222,-18.596705883661734,3.1155315277481496e+16,1.5808445208727894e+25,1.7237060771609985e-19,4.878176578492999e-19,5
7,8,-22.086888650701407,0.018367694302907783,-19.032442273662706,24378.454129591963,21936496387327.035,5.362922561212944e-21,2.1624717829477734e-19,3
7,9,-7.031017797634599,15.159863849724957,-32.33243025603391,2.9163453026863923e+19,5.5985721122293825e+28,1.34979875910425e-33,9.084426552064388e-17,4
8,0,-18.984542002326904,-2.5538314631475436,-17.957650121090715,54066638.60318439,3.449026447183074e+16,1.4196343744233942e-19,4.0523231611455205e-18,4
8,1,-15.487533871746024,-2.695397348038787,-18.359896721903127,155940700608.2462,1.088961132276908e+20,1.750701476385031e-21,8.564986878891368e-19,4
8,2,-7.104912587933223,9.186220162855822,-19.174661202513782,3.827865396187652e+18,4.863872773860703e+28,8.547903533494496e-21,3.0170128492411567e-19,4
8,3,-7.510405680822736,9.891467678883888,-19.410098060378356,1.920091457318582e+19,3.245521773169135e+28,1.2810240748917587e-20,6.46866606272918e-19,5
8,4,-7.327251865245582,14.371780650477202,-18.656674483807926,1.121264377723966e+19,4.863872773861427e+28,7.352007240899512e-21,4.439964053541336e-19,4
8,5,-25.45490212821348,-4.093033203056076,-18.863004209184986,0.0014115157475641628,265199.13639458775,2.0114099493940658e-20,5.87716209862936e-19,4
8,6,-7.253385413691412,8.776719493271738,-33.181907312418204,4.768922650894778e+19,4.863872773860793e+28,2.3229010082387363e-35,7.892279332476056e-17,6
8,7,-38.6141066144326,-1.7112452037808856,-18.501132632621303,2.496735477850802e-16,7.191896170911576e-07,1.5087332435603266e-19,6.578051321897491e-19,4
8,8,-43.84405995169089,-4.141095835504976,-18.650145608899905,5.676646886803866e-22,3.771915153228583e-12,2.6405238808777286e-20,7.2579461230708065e-19,5
8,9,-9.32345673665819,-1.9343368843291067,-18.632867045985826,1.5755188163849114e+17,4.391779493918811e+26,3.40170581750556e-20,3.99322793697001e-19,4
9,0,-9.413156329376449,19.92507152989998,-18.77199344328784,1.8512677830029446e+17,2.4934834252636736e+26,8.97017910163872e-21,7.093901194584176e-19,4
9,1,-11.270650451722618,16.24693073918967,-18.43951982788348,178516614934183.53,2.250812825090628e+24,2.1286205475904622e-19,8.113642371743828e-19,5
9,2,-21.889804491742456,-3.3051151943679096,-18.56062147067699,59816.00944917232,80959915569510.95,2.5145191339786803e-20,4.1616285333559363e-19,5
9,3,-7.0195958072362865,5.202772692636365,-18.745033751311976,3.247492149526724e+19,5.987785106313505e+28,9.94855087170811e-20,9.731926500674586e-19,5
9,4,-25.829332070268528,3.385178945263915,-33.2358967840991,0.7993106821500294,5865141157.766847,3.098815486400361e-35,1.926790899070845e-17,6
